lat_four,lng_four
53.4909,-2.3221
52.026,-0.6759
51.51988,-0.09446
51.51988,-0.09446
51.6213,-0.1063
51.2599,-0.833
51.4344,-0.0108
51.50853,-0.12574
53.4084,-2.9916
52.6813,-2.4442
51.5372,-0.1607
51.39822,-0.19837
50.7236,-3.52751
51.1279,-3.0036
51.1279,-3.0036
51.1279,-3.0036
51.12837,-3.00356
51.1279,-3.0036
53.5141,-1.0964
51.1279,-3.0036
51.1279,-3.0036
51.1279,-3.0036
51.1279,-3.0036
51.1279,-3.0036
51.1279,-3.0036
51.1279,-3.0036
51.2392,-0.1699
51.12837,-3.00356
51.8959,0.8919
51.4923,-0.1482
52.2436,-0.8802
51.0629,-0.3259
51.51988,-0.09446
50.7205,-3.5258
51.12837,-3.00356
51.5207,-0.1519
53.4808,-2.2426
51.5008,-0.0784
51.7545,-0.33
54.0497,-2.7787
51.4808,-0.0231
51.12837,-3.00356
51.4647,0.0079
53.4808,-2.2426
51.12837,-3.00356
51.2599,-0.5816
50.6221,-4.6824
50.7236,-3.52751
53.7131,-1.8867
51.4588,-0.5611
51.5054,-2.6016
51.3077,-0.7575
51.3762,-0.0982
51.5225,-0.1632
50.9061,-1.3406
50.8198,-1.088
50.5239,-3.5906
50.7236,-3.52751
52.0567,1.1482
52.0567,1.1482
52.0567,1.1482
51.4991,-0.198
53.7901,-1.5486
51.4912,-0.2237
51.5152,-0.0918
51.4815,-0.1875
51.406,0.0132
51.2362,-0.5704
52.216,-0.9009
52.2436,-0.8802
52.4788,-1.8942
52.6401,-1.1675
50.7205,-3.5258
50.7236,-3.52751
50.8198,-1.088
50.7236,-3.52751
50.7205,-3.5258
50.7205,-3.5258
51.5206,-2.5641
52.9536,-1.15047
52.9536,-1.15047
51.5358,-0.9029
50.7236,-3.52751
51.1656,-1.378
51.2392,-0.1699
52.1947,0.1322
51.5248,-0.1609
52.0567,1.1482
51.51988,-0.09446
51.49384,-0.22882
51.5268,-0.0954
51.4898,-0.3088
51.4925,-0.272
53.9588,-1.0735
51.5143,-0.1499
50.7236,-3.52751
50.7273,-3.4744
50.7236,-3.52751
51.4902,-0.1353
51.516,-0.1742
50.7258,-3.5388
51.5374,-0.1442
51.8918,-2.0819
50.7236,-3.52751
50.7236,-3.52751
50.7273,-3.4744
50.7236,-3.52751
51.5088,-0.6006
51.5394,-0.1046
51.2949,-0.3312
51.3429,0.2293
52.9536,-1.15047
51.4816,0.2478
51.5054,-0.0235
52.2053,0.1218
53.6003,-1.0216
51.9,-0.1991
54.0169,-1.5297
51.5505,-0.3048
50.7236,-3.52751
52.9536,-1.15047
51.5215,-0.1584
50.547,-3.4967
50.7224,-1.8646
50.7224,-1.8646
51.6071,0.1582
52.2436,-0.8802
51.5195,-0.09
53.4864,-2.0549
51.3794,-0.0508
51.5806,-0.342
51.0538,-1.7958
50.7236,-3.52751
51.5124,-0.0812
51.4169,-0.1238
51.6731,-0.023
50.7236,-3.52751
51.5563,-0.1375
52.5142,-2.1329
51.52438,-0.11022
51.5099,-0.1551
50.7236,-3.52751
51.76,-0.015
51.24048,-0.17044
51.5273,-0.166
51.5215,-0.1366
51.8642,-2.2382
51.8642,-2.2382
51.54767,-0.17228
51.54767,-0.17228
51.514,-0.0753
51.2822,-0.8202
51.2322,-0.3324
50.7236,-3.52751
52.0105,-0.7349
53.95763,-1.08271
52.4869,-1.9098
55.5818,-1.6569
51.2322,-0.3324
51.2392,-0.1699
51.8642,-2.2382
50.7236,-3.52751
50.7236,-3.52751
50.7236,-3.52751
51.8891,0.9008
51.5147,-0.0992
50.7236,-3.52751
51.2394,-0.163
51.4609,-0.3731
51.1279,-3.0036
52.6359,-1.1375
51.5492,-0.4824
53.4874,-2.2486
51.5209,-0.0847
53.7555,-1.8952
51.5124,-0.0812
51.4596,-0.2141
51.5124,-0.0812
50.722,-1.1683
51.51116,-0.18426
51.47,-0.4543
53.1794,-2.9438
51.48833,-0.60905
54.9148,-2.9413
51.4032,-0.1011
51.485,-0.578
51.5146,-0.1234
52.9536,-1.15047
51.5397,-0.138
50.9421,-2.6333
51.889,0.9012
51.5492,0.6939
51.5105,-0.595
51.54057,-0.14334
51.473,-0.913
52.9536,-1.1413
51.5495,-0.4824
51.45625,-0.97113
51.45625,-0.97113
52.6551,-1.1361
50.7191,-1.9812
51.44491,-0.02043
52.4118,-1.7776
54.9534,-1.6288
51.6582,-0.3971
51.456,-0.9763
51.50853,-0.12574
50.7236,-3.52751
51.12837,-3.00356
50.7236,-3.52751
51.4125,-0.3059
50.7236,-3.52751
50.902,-3.4912
53.09787,-2.44161
51.5489,-0.48211
50.9016,-1.4011
51.0983,0.0312
51.47,-0.4089
52.7123,-1.3844
54.6633,-3.368
51.5649,-0.0054
51.1091,-0.1872
51.4117,-0.0215
51.5195,-0.09
50.7236,-3.52751
53.48095,-2.23743
51.418,-0.3215
51.5736,-0.2183
51.51113,-0.01565
51.5127,-0.0822
50.8722,-0.7396
51.51113,-0.01565
51.5054,-0.0235
51.4193,-0.1994
52.6423,1.3049
51.51279,-0.09184
52.2,0.11667
51.5099,-0.8871
53.7632,-2.7031
55.5811,-1.6512
50.7236,-3.52751
50.7197,-3.5344
51.12837,-3.00356
51.51279,-0.09184
51.54057,-0.14334
51.6523,-0.0807
51.5073,-0.1657
50.7236,-3.52751
50.7236,-3.52751
51.50853,-0.12574
51.50853,-0.12574
51.5934,-0.4845
51.5934,-0.4845
53.8995,-1.3642
51.7155,-0.0623
51.5347,-0.1246
51.5162,-0.0809
54.1424,-0.8032
51.4874,0.2832
51.4874,0.2832
51.4874,0.2832
51.5133,-0.3043
51.4874,0.2832
53.3811,-1.4701
51.50901,-0.2762
52.4801,-0.7059
50.5912,-2.4697
51.4045,0.1117
51.4623,0.0972
51.4637,-0.1691
51.44491,-0.02043
52.7702,-2.562
51.1324,0.2637
53.5141,-1.0964
53.5141,-1.0964
53.95763,-1.08271
54.9591,-1.5078
54.58,-1.0017
50.3503,-3.8867
51.478,-0.2833
51.4539,-2.0967
50.7236,-3.52751
50.7236,-3.52751
50.7236,-3.52751
51.12837,-3.00356
51.12837,-3.00356
50.7236,-3.52751
51.4999,-0.1144
53.95763,-1.08271
51.294,-0.754
50.7207,-3.534
51.1291,-3.003
51.5108,-0.4458
54.9588,-1.6252
51.5061,-0.1268
51.3652,-0.4387
51.5199,-0.1555
50.7236,-3.52751
51.2394,-0.163
50.7197,-3.5344
52.955,-1.1603
50.7197,-3.5344
51.48199,-2.76973
52.1943,0.1355
53.3352,-2.7212
50.4351,-3.5642
52.25,-0.88333
52.3356,-2.0619
51.5734,-0.0724
51.4796,-0.1737
51.47475,-0.15547
51.51279,-0.09184
51.7513,-2.2931
52.8085,-3.1164
51.51279,-0.09184
51.8032,-0.2087
51.40606,0.01519
51.51988,-0.09446
50.7236,-3.52751
51.4583,-0.9671
51.5117,-0.0815
53.6147,-2.1257
51.6523,-0.0807
51.5176,-0.1145
53.52285,-1.13116
50.9623,0.1027
51.5442,0.07
51.5442,0.07
52.2903,-1.5342
50.5973,-3.462
50.5973,-3.462
52.7595,-0.3897
51.45213,-0.123
50.39,-4.1784
52.2429,0.7105
